property_type,price_aprox_usd,surface_total_in_m2,surface_covered_in_m2,state,lat,lon
apartment,875000.0,0.0,263.0,Quintana Roo,21.1902642,-86.8198375
apartment,300000.0,1500.0,160.0,Quintana Roo,20.4987828982,-87.2228193283
apartment,172446.86,0.0,83.0,Distrito Federal,19.3794059,-99.1591446
apartment,115000.0,49.0,49.0,Quintana Roo,21.0511211635,-86.7828512192
apartment,70880.12,56.0,56.0,Distrito Federal,19.4024128,-99.0953907
apartment,30558.16,0.0,99.0,Quintana Roo,21.1541659192,-86.8471578694
house,131747.44,331.0,150.0,Distrito Federal,19.2690778853,-99.2035388947
apartment,1125000.0,260.0,260.0,Distrito Federal,19.430456,-99.1889121
apartment,222389.68,80.0,0.0,Distrito Federal,19.376482,-99.2587951
house,305654.07,200.0,263.0,Distrito Federal,19.307427366,-99.1170322895
house,65873.72,125.0,99.0,Quintana Roo,21.161908,-86.8515279
apartment,553339.27,320.0,320.0,Distrito Federal,19.390415,-99.254997
apartment,1053979.56,190.0,190.0,Distrito Federal,19.430456,-99.1889121
apartment,53399.87,0.0,60.0,Distrito Federal,19.2990233,-99.0436467
house,94858.16,160.0,200.0,Distrito Federal,19.3383626772,-99.0706713125
apartment,1478500.0,0.0,300.0,Quintana Roo,20.6523823712,-87.0461797714
house,168636.73,180.0,264.0,Distrito Federal,19.381207,-99.0978814
house,490100.49,1500.0,900.0,Quintana Roo,21.1199835722,-86.8363599075
apartment,492618.62,159.0,159.0,Distrito Federal,19.3753948137,-99.1657587614
house,4000000.0,713.0,451.0,Distrito Federal,19.420166,-99.220367
apartment,204950.0,91.0,62.0,Quintana Roo,20.6546691,-87.0540165
house,84298.37,180.0,180.0,Quintana Roo,21.129547,-86.817017
house,822051.36,658.0,530.0,Distrito Federal,19.3641188,-99.2640457
apartment,71975.74,119.0,119.0,Quintana Roo,20.6543977622,-87.0861594379
apartment,182000.0,0.0,0.0,Solidaridad,20.620914,-87.075059
house,711267.53,591.0,650.0,Distrito Federal,19.401079,-99.24807
house,468909.7,540.0,515.0,Quintana Roo,21.1070511,-86.8468159
